(511 x 1023) (1023 x 4094) (511 x 4094),'0.004267,'0.492085,'0.005950
(600 x 1023) (1023 x 4094) (600 x 4094),'0.004477,'0.608081,'0.008517
(700 x 1023) (1023 x 4094) (700 x 4094),'0.004508,'0.648847,'0.008319
(800 x 1023) (1023 x 4094) (800 x 4094),'0.005471,'0.711174,'0.011419
(511 x 1023) (1023 x 5000) (511 x 5000),'0.005233,'0.627055,'0.007594
(511 x 1023) (1023 x 6000) (511 x 6000),'0.006112,'0.666506,'0.009269
(511 x 1023) (1023 x 7000) (511 x 7000),'0.006924,'0.762586,'0.010478
(511 x 100) (100 x 4094) (511 x 4094),'0.000511,'0.012067,'0.006359
(511 x 500) (500 x 4094) (511 x 4094),'0.002255,'0.184185,'0.006100
(511 x 1000) (1000 x 4094) (511 x 4094),'0.004292,'0.512756,'0.005940
