(511 x 1023) (1023 x 4094) (511 x 4094),'0.004675,'0.336305,'0.008218
(600 x 1023) (1023 x 4094) (600 x 4094),'0.004377,'0.359588,'0.007218
(700 x 1023) (1023 x 4094) (700 x 4094),'0.004511,'0.387429,'0.009015
(800 x 1023) (1023 x 4094) (800 x 4094),'0.004810,'0.419016,'0.009908
(511 x 1023) (1023 x 5000) (511 x 5000),'0.005280,'0.398223,'0.007905
(511 x 1023) (1023 x 6000) (511 x 6000),'0.006069,'0.465578,'0.009202
(511 x 1023) (1023 x 7000) (511 x 7000),'0.007321,'0.514888,'0.010647
(511 x 100) (100 x 4094) (511 x 4094),'0.000548,'0.009583,'0.006677
(511 x 500) (500 x 4094) (511 x 4094),'0.002240,'0.149460,'0.006527
(511 x 1000) (1000 x 4094) (511 x 4094),'0.004684,'0.331708,'0.006423
