(511 x 1023) (1023 x 4094) (511 x 4094),'0.008206,'0.355564,'0.011547
(600 x 1023) (1023 x 4094) (600 x 4094),'0.008304,'0.389697,'0.012880
(700 x 1023) (1023 x 4094) (700 x 4094),'0.008595,'0.444197,'0.015366
(800 x 1023) (1023 x 4094) (800 x 4094),'0.008626,'0.462736,'0.017191
(511 x 1023) (1023 x 5000) (511 x 5000),'0.010096,'0.401786,'0.013389
(511 x 1023) (1023 x 6000) (511 x 6000),'0.011570,'0.499283,'0.016133
(511 x 1023) (1023 x 7000) (511 x 7000),'0.013240,'0.546501,'0.018677
(511 x 100) (100 x 4094) (511 x 4094),'0.001199,'0.012009,'0.011274
(511 x 500) (500 x 4094) (511 x 4094),'0.004111,'0.156492,'0.010841
(511 x 1000) (1000 x 4094) (511 x 4094),'0.008062,'0.347702,'0.010717
