(511 x 1023) (1023 x 4094) (511 x 4094),' 0.008142,' 0.675102,' 0.011145
(600 x 1023) (1023 x 4094) (600 x 4094),' 0.010190,' 0.785338,' 0.013009
(700 x 1023) (1023 x 4094) (700 x 4094),' 0.008724,' 0.862264,' 0.019633
(800 x 1023) (1023 x 4094) (800 x 4094),' 0.009239,' 0.983147,' 0.018070
(511 x 1023) (1023 x 5000) (511 x 5000),' 0.009813,' 0.823702,' 0.015278
(511 x 1023) (1023 x 6000) (511 x 6000),' 0.012380,' 0.937607,' 0.016413
(511 x 1023) (1023 x 7000) (511 x 7000),' 0.013351,' 1.032193,' 0.018453
(511 x 100) (100 x 4094) (511 x 4094),' 0.000948,' 0.015391,' 0.011651
(511 x 500) (500 x 4094) (511 x 4094),' 0.004068,' 0.212467,' 0.011444
(511 x 1000) (1000 x 4094) (511 x 4094),' 0.008215,' 0.643905,' 0.011602
